,Salary,Rating,Company,Location,Founded,Ownership,Industry
152,91259.0,3.7,Clinical Management Consultants,Garden Grove,,,Human Resources & Staffing
153,113776.0,4.0,Uber,San Francisco,2009,Public,Internet & Web Services
154,159100.0,3.6,Peraton,Seaside,2017,Private,Information Technology Support Services
155,100400.0,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals
156,47040.0,3.9,Randstad General Staffing,Livermore,1960,Public,HR Consulting
157,58338.0,4.3,"Lakeshore Learning Materials, LLC",Carson,1954,Private,Other Retail Stores
158,85000.0,4.0,Mission Asset Fund,San Francisco,,,Financial Services
159,124800.0,4.6,CorTech,San Francisco,1999,Private,Staffing & Subcontracting
160,67402.0,3.7,The Cheesecake Factory,Calabasas,1978,Public,Restaurants & Cafes
161,48000.0,3.2,"Vigilance Health, Inc.",Ventura,2015,Private,Health Care Services & Hospitals
162,59166.0,3.4,BrandRep,Santa Ana,2009,Private,Advertising & Public Relations
163,57600.0,4.0,AppleOne,Pasadena,1964,Private,HR Consulting
164,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting
165,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services
166,102500.0,3.3,Webhelp Americas,San Jose,2000,Private,HR Consulting
167,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending
168,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities
169,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending
170,91259.0,3.7,Clinical Management Consultants,Garden Grove,,,Human Resources & Staffing
171,52800.0,3.7,"Southland Employment Services, Inc.",Arcadia,,,
172,113776.0,4.0,Uber,San Francisco,2009,Public,Internet & Web Services
173,159100.0,3.6,Peraton,Seaside,2017,Private,Information Technology Support Services
174,47040.0,3.9,Randstad General Staffing,Livermore,1960,Public,HR Consulting
175,85431.0,3.7,Astreya,Cupertino,2001,Private,Information Technology Support Services
176,75000.0,2.9,Bay Area News Group,San Jose,1987,Private,Publishing
177,124800.0,4.6,CorTech,San Francisco,1999,Private,Staffing & Subcontracting
178,146000.0,4.2,Stryker,San Jose,1941,Public,Health Care Products Manufacturing
179,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals
180,53595.0,4.3,"Lakeshore Learning Materials, LLC",Carson,1954,Private,Other Retail Stores
181,59166.0,3.4,BrandRep,Santa Ana,2009,Private,Advertising & Public Relations
182,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting
183,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services
184,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending
185,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities
186,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending
187,91259.0,3.7,Clinical Management Consultants,Garden Grove,,,Human Resources & Staffing
188,52800.0,3.7,"Southland Employment Services, Inc.",Arcadia,,,
189,113776.0,4.0,Uber,San Francisco,2009,Public,Internet & Web Services
190,85431.0,3.7,Astreya,Cupertino,2001,Private,Information Technology Support Services
191,47040.0,3.9,Randstad General Staffing,Livermore,1960,Public,HR Consulting
192,58338.0,4.3,"Lakeshore Learning Materials, LLC",Carson,1954,Private,Other Retail Stores
193,124800.0,4.6,CorTech,San Francisco,1999,Private,Staffing & Subcontracting
194,67402.0,3.7,The Cheesecake Factory,Calabasas,1978,Public,Restaurants & Cafes
195,48000.0,3.2,"Vigilance Health, Inc.",Ventura,2015,Private,Health Care Services & Hospitals
196,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals
197,140001.0,4.8,Yugabyte,Sunnyvale,,,
198,59166.0,3.4,BrandRep,Santa Ana,2009,Private,Advertising & Public Relations
199,67650.0,3.7,Optum,El Segundo,,,Healthcare
200,130000.0,4.2,CyberCoders,Los Angeles,1999,,HR Consulting
201,118080.0,3.9,Robert Half,Oceanside,1948,Public,HR Consulting
202,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting
203,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services
204,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending
205,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities
206,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending
207,91259.0,3.7,Clinical Management Consultants,Garden Grove,,,Human Resources & Staffing
208,52800.0,3.7,"Southland Employment Services, Inc.",Arcadia,,,
209,113776.0,4.0,Uber,San Francisco,2009,Public,Internet & Web Services
210,85431.0,3.7,Astreya,Cupertino,2001,Private,Information Technology Support Services
211,47040.0,3.9,Randstad General Staffing,Livermore,1960,Public,HR Consulting
212,58338.0,4.3,"Lakeshore Learning Materials, LLC",Carson,1954,Private,Other Retail Stores
213,124800.0,4.6,CorTech,San Francisco,1999,Private,Staffing & Subcontracting
214,67402.0,3.7,The Cheesecake Factory,Calabasas,1978,Public,Restaurants & Cafes
215,48000.0,3.2,"Vigilance Health, Inc.",Ventura,2015,Private,Health Care Services & Hospitals
216,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals
217,140001.0,4.8,Yugabyte,Sunnyvale,,,
218,59166.0,3.4,BrandRep,Santa Ana,2009,Private,Advertising & Public Relations
219,67650.0,3.7,Optum,El Segundo,,,Healthcare
220,130000.0,4.2,CyberCoders,Los Angeles,1999,,HR Consulting
221,118080.0,3.9,Robert Half,Oceanside,1948,Public,HR Consulting
