,Name,City,State_x,Location,Acceptance_Rate,Price,Average_Salary_After_10_Years,Graduation_Rate,Student_Population,University_Type,room_board_expense,student_faculty_ratio,Zip,State_y,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
9804,Asbury University,Wilmore,KY,"Wilmore, KY",0.644,42800.0,39500.0,0.65,1940.0,Private,6748.0,13.0,40390,KY,37.85743,-84.66069,-5,1,"37.85743,-84.66069"
9808,Bellarmine University,Louisville,KY,"Louisville, KY",0.662,59690.0,50300.0,0.67,3369.0,Private,11820.0,12.0,40280,KY,38.246721,-85.685261,-5,1,"38.246721,-85.685261"
9885,University of Louisville,Louisville,KY,"Louisville, KY",0.693,28898.0,45200.0,0.53,21430.0,Public,8130.0,15.0,40280,KY,38.246721,-85.685261,-5,1,"38.246721,-85.685261"
9962,Centre College,Danville,KY,"Danville, KY",0.764,56910.0,52500.0,0.84,1434.0,Private,9950.0,11.0,40423,KY,37.624659,-84.84576700000001,-5,1,"37.624659,-84.845767"
9988,University of the Cumberlands,Williamsburg,KY,"Williamsburg, KY",0.8,24265.0,36700.0,0.36,13472.0,Private,9000.0,17.0,47393,IN,39.953627000000004,-84.99542,-5,0,"39.953627,-84.99542"
10004,Georgetown College,Georgetown,KY,"Georgetown, KY",0.633,53518.0,46300.0,0.56,1608.0,Private,9050.0,11.0,80444,CO,39.694915,-105.7258,-7,1,"39.694915,-105.7258"
10032,Kentucky Wesleyan College,Owensboro,KY,"Owensboro, KY",0.624,42355.0,38500.0,0.4,830.0,Private,8480.0,13.0,42301,KY,37.753347,-87.17419,-6,1,"37.753347,-87.17419"
10036,University of Kentucky,Lexington,KY,"Lexington, KY",0.9590000000000001,30928.0,51000.0,0.62,29182.0,Public,12184.0,17.0,40585,KY,38.028269,-84.47150500000001,-5,1,"38.028269,-84.471505"
10110,Transylvania University,Lexington,KY,"Lexington, KY",0.897,54080.0,48700.0,0.72,987.0,Private,9860.0,11.0,40585,KY,38.028269,-84.47150500000001,-5,1,"38.028269,-84.471505"
10184,Morehead State University,Morehead,KY,"Morehead, KY",0.7759999999999999,22832.0,34400.0,0.41,10195.0,Public,8892.0,18.0,40351,KY,38.19056,-83.4321,-5,1,"38.19056,-83.4321"
10185,Murray State University,Murray,KY,"Murray, KY",0.8240000000000001,23694.0,40400.0,0.5,9454.0,Public,8588.0,15.0,83874,ID,47.626188,-115.83203999999999,-8,1,"47.626188,-115.83204"
10189,Union College,Schenectady,NY,"Schenectady, NY",0.429,73410.0,74200.0,0.87,2197.0,Private,7250.0,15.0,12307,NY,42.804076,-73.93571,-5,1,"42.804076,-73.93571"
10378,Nebraska Wesleyan University,Lincoln,NE,"Lincoln, NE",0.6779999999999999,50236.0,51800.0,0.66,2095.0,Private,,11.0,68521,NE,40.855645,-96.71298,-6,1,"40.855645,-96.71298"
10430,Centenary College of Louisiana,Shreveport,LA,"Shreveport, LA",0.598,55300.0,52500.0,0.53,585.0,Private,12980.0,9.0,71120,LA,32.607556,-93.75256,-6,1,"32.607556,-93.75256"
10464,Louisiana Tech University,Ruston,LA,"Ruston, LA",0.6409999999999999,22341.0,48600.0,0.52,11909.0,Public,5925.0,24.0,71273,LA,32.606535,-92.648384,-6,1,"32.606535,-92.648384"
10467,Loyola University New Orleans,New Orleans,LA,"New Orleans, LA",0.75,57020.0,50600.0,0.64,4261.0,Private,12464.0,11.0,70143,LA,30.032996999999998,-89.882564,-6,1,"30.032997,-89.882564"
10533,University of New Orleans,New Orleans,LA,"New Orleans, LA",0.555,23816.0,42700.0,0.34,8151.0,Public,9730.0,22.0,70143,LA,30.032996999999998,-89.882564,-6,1,"30.032997,-89.882564"
10599,Xavier University of Louisiana,New Orleans,LA,"New Orleans, LA",0.6,38485.0,61700.0,0.42,3231.0,Private,,14.0,70143,LA,30.032996999999998,-89.882564,-6,1,"30.032997,-89.882564"
10665,McNeese State University,Lake Charles,LA,"Lake Charles, LA",0.807,22256.0,44000.0,0.41,7647.0,Public,8014.0,21.0,70605,LA,30.165907,-93.24905,-6,1,"30.165907,-93.24905"
10676,Northwestern State University of Louisiana,Natchitoches,LA,"Natchitoches, LA",0.82,23867.0,38100.0,0.38,11081.0,Public,8930.0,16.0,71458,LA,31.747563,-93.07905500000001,-6,1,"31.747563,-93.079055"
10679,Colby College,Waterville,ME,"Waterville, ME",0.09699999999999999,73600.0,73400.0,0.92,2000.0,Private,,10.0,13480,NY,42.922823,-75.36494,-5,1,"42.922823,-75.36494"
10689,University of Maine,Orono,ME,"Orono, ME",0.902,25604.0,46700.0,0.58,11404.0,Public,,16.0,4469,ME,45.002798,-68.63343,-5,1,"45.002798,-68.63343"
10691,Maine Maritime Academy,Castine,ME,"Castine, ME",0.45299999999999996,28208.0,100300.0,0.64,997.0,Public,,13.0,4420,ME,44.412968,-68.798047,-5,1,"44.412968,-68.798047"
10693,University of New England,Biddeford,ME,"Biddeford, ME",0.8440000000000001,57310.0,53800.0,0.61,8010.0,Private,,13.0,4007,ME,43.45813,-70.505301,-5,1,"43.45813,-70.505301"
10695,Capitol College,Laurel,MD,"Laurel, MD",0.8340000000000001,43862.0,70100.0,0.37,743.0,Private,,16.0,50141,IA,41.88053,-92.95464,-6,1,"41.88053,-92.95464"
10714,Johns Hopkins University,Baltimore,MD,"Baltimore, MD",0.11199999999999999,74028.0,85800.0,0.93,26152.0,Private,,7.0,21280,MD,39.284707,-76.620489,-5,1,"39.284707,-76.620489"
10766,Maryland Institute College of Art,Baltimore,MD,"Baltimore, MD",0.639,67075.0,40300.0,0.73,2178.0,Private,,8.0,21280,MD,39.284707,-76.620489,-5,1,"39.284707,-76.620489"
10818,Notre Dame of Maryland University,Baltimore,MD,"Baltimore, MD",0.617,53480.0,52700.0,0.56,2371.0,Private,,7.0,21280,MD,39.284707,-76.620489,-5,1,"39.284707,-76.620489"
10870,Mount St Mary's University,Emmitsburg,MD,"Emmitsburg, MD",,,,,,Unknown,,12.0,21727,MD,39.695328,-77.32721,-5,1,"39.695328,-77.32721"
10871,St John's College,Annapolis,MD,"Annapolis, MD",,,,,,Unknown,,7.0,21404,MD,38.974203,-76.594942,-5,1,"38.974203,-76.594942"
10881,United States Naval Academy,Annapolis,MD,"Annapolis, Maryland",0.083,0.0,,,4512.0,Public,,8.0,21404,MD,38.974203,-76.594942,-5,1,"38.974203,-76.594942"
10907,Towson University,Towson,MD,"Towson, MD",0.763,27474.0,53500.0,0.69,22923.0,Public,,17.0,21204,MD,39.405606,-76.62648,-5,1,"39.405606,-76.62648"
10909,Amherst College,Amherst,MA,"Amherst, MA",0.113,76750.0,82000.0,0.95,1855.0,Private,,8.0,24521,VA,37.616606,-79.08763,-5,1,"37.616606,-79.08763"
10920,Babson College,Wellesley,MA,"Wellesley, MA",0.264,72378.0,108500.0,0.89,3357.0,Private,,13.0,2181,MA,42.300596,-71.27875,-5,1,"42.300596,-71.27875"
10922,Wellesley College,Wellesley,MA,"Wellesley, MA",0.21600000000000003,75198.0,68100.0,0.92,2534.0,Private,,7.0,2181,MA,42.300596,-71.27875,-5,1,"42.300596,-71.27875"
10924,Bentley University,Waltham,MA,"Waltham, MA",0.467,71320.0,87200.0,0.89,5460.0,Private,,11.0,2154,MA,42.388938,-71.2398,-5,1,"42.388938,-71.2398"
10931,Brandeis University,Waltham,MA,"Waltham, MA",0.299,76141.0,66700.0,0.89,5800.0,Private,,10.0,2154,MA,42.388938,-71.2398,-5,1,"42.388938,-71.2398"
10938,Boston College,Chestnut Hill,MA,"Chestnut Hill, MA",0.272,75886.0,90900.0,0.92,14720.0,Private,,13.0,2167,MA,42.320797,-71.169847,-5,1,"42.320797,-71.169847"
10940,Gordon College,Wenham,MA,"Wenham, MA",0.74,52100.0,45300.0,0.7,1955.0,Private,,11.0,1984,MA,42.600518,-70.87618,-5,1,"42.600518,-70.87618"
10941,Harvard University,Cambridge,MA,"Cambridge, MA",0.046,73800.0,136700.0,0.98,31566.0,Private,,7.0,69022,NE,40.317358,-100.17857,-6,1,"40.317358,-100.17857"
10960,Massachusetts Institute of Technology,Cambridge,MA,"Cambridge, MA",0.067,73160.0,142100.0,0.92,11574.0,Private,,3.0,69022,NE,40.317358,-100.17857,-6,1,"40.317358,-100.17857"
10979,College of Our Lady of the Elms,Chicopee,MA,"Chicopee, MA",0.7509999999999999,54166.0,46300.0,0.73,1531.0,Private,,12.0,1020,MA,42.175992,-72.57265,-5,1,"42.175992,-72.57265"
10984,Tufts University,Medford,MA,"Medford, MA",0.15,76200.0,83100.0,0.93,11586.0,Private,,9.0,55049,MN,44.172277,-93.23924,-6,1,"44.172277,-93.23924"
10993,Williams College,Williamstown,MA,"Williamstown, MA",0.126,75520.0,73600.0,0.95,2149.0,Private,,6.0,45897,OH,40.834233000000005,-83.65288000000001,-5,1,"40.834233,-83.65288"
11003,Adrian College,Adrian,MI,"Adrian, MI",0.5589999999999999,54829.0,39900.0,0.55,1856.0,Private,,13.0,26210,WV,38.900064,-80.26795,-5,1,"38.900064,-80.26795"
11013,Albion College,Albion,MI,"Albion, MI",0.688,62155.0,55600.0,0.69,1533.0,Private,,12.0,50005,IA,42.116477,-93.00357,-6,1,"42.116477,-93.00357"
11027,Alma College,Alma,MI,"Alma, MI",0.624,55820.0,48300.0,0.61,1433.0,Private,,12.0,36501,AL,31.463967999999998,-87.73883000000002,-6,1,"31.463968,-87.73883"
11040,Andrews University,Berrien Springs,MI,"Berrien Springs, MI",0.67,41658.0,43700.0,0.56,3407.0,Private,,10.0,49104,MI,42.001551,-86.715294,-5,1,"42.001551,-86.715294"
11042,Aquinas College,Nashville,TN,"Nashville, TN",0.40399999999999997,37231.0,48600.0,0.26,342.0,Private,,12.0,49073,MI,42.588988,-85.124,-5,1,"42.588988,-85.124"
11126,Calvin College,Grand Rapids,MI,"Grand Rapids, MI",0.769,50900.0,47000.0,0.74,3732.0,Private,,12.0,49509,MI,42.905877000000004,-85.70392,-5,1,"42.905877,-85.70392"
11156,Cornerstone University,Grand Rapids,MI,"Grand Rapids, MI",0.7759999999999999,38150.0,38800.0,0.54,2131.0,Private,,15.0,49509,MI,42.905877000000004,-85.70392,-5,1,"42.905877,-85.70392"
11186,Central Michigan University,Mount Pleasant,MI,"Mount Pleasant, MI",0.695,25368.0,44500.0,0.57,21622.0,Public,,20.0,29466,SC,32.876020000000004,-79.79148,-5,1,"32.87602,-79.79148"
11203,University of Detroit Mercy,Detroit,MI,"Detroit, MI",0.775,42648.0,52600.0,0.59,5111.0,Private,,10.0,48219,MI,42.425236,-83.24902,-5,1,"42.425236,-83.24902"
11259,Wayne State University,Detroit,MI,"Detroit, MI",0.731,27486.0,51000.0,0.34,27025.0,Public,,14.0,48219,MI,42.425236,-83.24902,-5,1,"42.425236,-83.24902"
11315,Eastern Michigan University,Ypsilanti,MI,"Ypsilanti, MI",0.741,27566.0,41600.0,0.38,19123.0,Public,,17.0,58497,ND,46.770483,-98.56496,-6,1,"46.770483,-98.56496"
11318,Ferris State University,Big Rapids,MI,"Big Rapids, MI",0.866,23651.0,47000.0,0.42,13250.0,Public,,16.0,49307,MI,43.697651,-85.47815,-5,1,"43.697651,-85.47815"
11319,Kettering University,Flint,MI,"Flint, MI",0.73,58080.0,76000.0,0.56,2315.0,Private,,15.0,48502,MI,43.014077,-83.69012,-5,1,"43.014077,-83.69012"
11339,Grand Valley State University,Allendale,MI,"Allendale, MI",0.83,25040.0,44600.0,0.66,24677.0,Public,,16.0,64420,MO,40.478118,-94.423294,-6,1,"40.478118,-94.423294"
11344,Hope College,Holland,MI,"Holland, MI",0.857,48680.0,47500.0,0.78,3149.0,Private,,11.0,1521,MA,42.054676,-72.16136999999999,-5,1,"42.054676,-72.16137"
